127.0.0.1 - - [05/Jul/2024:09:19:39 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:19:40 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 500 2661
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:19:40 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:25:32 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:25:32 +0900] "GET /jsp/setSession.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:25:32 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:25:34 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:29:22 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:29:22 +0900] "GET /jsp/setSession.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:29:22 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:29:23 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:29:42 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:29:54 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:30:18 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:30:32 +0900] "GET /jsp/getSession.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:36:59 +0900] "GET /jsp/getMulTable.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:37:02 +0900] "GET /jsp/setMulTable.jsp?mulTb=2 HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:41:02 +0900] "GET /jsp/setMulTable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:41:02 +0900] "GET /jsp/setMulTable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:41:02 +0900] "GET /jsp/setMulTable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:41:02 +0900] "GET /jsp/setMulTable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:41:02 +0900] "GET /jsp/setMulTable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:41:02 +0900] "GET /jsp/setMulTable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:41:02 +0900] "GET /jsp/setMulTable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jul/2024:09:41:02 +0900] "GET /jsp/setMulTable.jsp HTTP/1.1" 302 -
